çXêVì˙éû,éwêî,èÛë‘
2026-04-15 00:00:00,46.9428571428571,neutral
2026-04-17 11:45:46,63.3142857142857,greed
2026-04-17 23:59:39,68.0857142857143,greed
2026-04-20 19:43:03,69.4857142857143,greed
2026-04-21 19:50:08,68.2571428571429,greed
2026-04-22 19:52:28,68.0285714285714,greed
2026-04-23 19:59:58,65.8857142857143,greed
2026-04-24 18:03:50,66.0571428571429,greed
2026-04-24 23:59:49,66.0285714285714,greed
2026-04-27 20:06:49,67.3714285714286,greed
2026-04-28 20:28:47,63.8,greed
2026-04-29 20:05:54,63.6571428571429,greed
2026-04-30 20:04:41,66.7142857142857,greed
2026-05-01 19:51:29,66.4285714285714,greed
2026-05-01 23:59:39,66.6,greed
2026-05-04 20:28:26,62.9142857142857,greed
2026-05-05 20:00:42,67.0571428571429,greed
2026-05-06 20:41:50,68.3714285714286,greed
2026-05-07 20:32:35,67.6285714285714,greed
2026-05-08 19:59:59,67.1428571428571,greed
2026-05-08 23:59:55,66.9142857142857,greed
2026-05-11 20:48:11,66.9714285714286,greed
2026-05-12 20:50:03,66.6,greed
2026-05-13 20:55:39,65.8571428571429,greed
2026-05-14 20:37:45,66.1428571428572,greed
2026-05-15 17:44:30,65,greed
2026-05-15 23:59:54,62.9142857142857,greed
2026-05-18 17:55:27,61.8285714285714,greed
2026-05-19 18:03:46,61.2285714285714,greed
